名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,與其他資料集共用資源,最大記錄數,檔案類欄位,實際型態
現住原住民人口按性別、身分、原住民族別分（新增區域代碼）,政府開放資料平臺,,CSV;JSON,93,OGDL-1.0,2026/7/13 下午 05:42:03,https://odportal.tw/dataset/Pgvfaz_V,https://data.gov.tw/dataset/77052,真資料,93,2,,932,,text
現住原住民戶口數,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/4 上午 01:02:43,https://odportal.tw/dataset/xaTIyYBQ,https://data.gov.tw/dataset/128976,失效,1,1,,,,
現住原住民年齡分配,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/8/2 上午 01:02:56,https://odportal.tw/dataset/_BJMg0Jv,https://data.gov.tw/dataset/129398,失效,1,1,,,,
現住原住民婚姻狀況(88-91年)-年 依 期間， 鄉鎮市，平地/山地 與 項目,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/18 上午 01:03:01,https://odportal.tw/dataset/qsXsQ0gK,https://data.gov.tw/dataset/129399,失效,1,1,,,,
現住原住民婚姻狀況(92年後)-年 依 期間，年齡層， 平地/山地，婚姻 與 男/女,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/4 上午 01:02:47,https://odportal.tw/dataset/uOQO8Oob,https://data.gov.tw/dataset/130092,失效,1,1,,,,
現住原住民教育程度(102年後)-年 依 期間，年齡層， 男/女，平地/山地 與 項目,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/4 上午 01:02:46,https://odportal.tw/dataset/pG43rCN1,https://data.gov.tw/dataset/129176,失效,1,1,,,,
現住原住民教育程度(88-91年),政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/18 上午 01:02:59,https://odportal.tw/dataset/8d55DuCo,https://data.gov.tw/dataset/130091,失效,1,1,,,,
現住原住民教育程度(92-101年)-年 依 期間，年齡層，男/女，平地/山地 與,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/4 上午 01:02:44,https://odportal.tw/dataset/P6LAru1e,https://data.gov.tw/dataset/128972,失效,1,1,,,,
現住原住民族戶口數(民國100年以前),政府開放資料平臺,,CSV,1,OGDL-1.0,2025/6/26 上午 09:04:32,https://odportal.tw/dataset/riUGuxcd,https://data.gov.tw/dataset/123497,真資料,1,1,,10,,text
現住原住民族戶口數(民國101年以後),政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/8 下午 01:51:18,https://odportal.tw/dataset/Tngx3V9S,https://data.gov.tw/dataset/125385,真資料,1,1,,390,,text
現住原住民族年齡分配,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/8 下午 01:51:37,https://odportal.tw/dataset/G4hhSJu2,https://data.gov.tw/dataset/123322,真資料,1,1,,1504,,text
現住原住民族婚姻現況,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/8 下午 02:01:20,https://odportal.tw/dataset/_8Jy5l2I,https://data.gov.tw/dataset/124571,真資料,1,1,,1620,,text
現住原住民族種族別人口數,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/8 下午 02:05:20,https://odportal.tw/dataset/P39j-mL_,https://data.gov.tw/dataset/124239,真資料,1,1,,1980,,text
連江縣國民小學原住民學生數－族別,政府開放資料平臺,,PDF,1,OGDL-1.0,2021/12/8 下午 02:16:30,https://odportal.tw/dataset/Vsf2_jDt,https://data.gov.tw/dataset/146858,二進位,1,1,,,,pdf
